Reliability bins (n_bins=10, ECE=0.0455)
   bin     lo     hi     conf      acc      n  gap
     0   0.00   0.10    0.032    0.070    417  ###### (0.038)
     1   0.10   0.20    0.155    0.149    356  # (0.006)
     2   0.20   0.30    0.247    0.193    435  ######### (0.054)
     3   0.30   0.40    0.349    0.319    442  ##### (0.030)
     4   0.40   0.50    0.452    0.523    614  ########### (0.070)
     5   0.50   0.60    0.545    0.560    641  ## (0.015)
     6   0.60   0.70    0.648    0.702   1080  ######### (0.053)
     7   0.70   0.80    0.742    0.726    938  ### (0.016)
     8   0.80   0.90    0.816    0.239     67  ######################################## (0.577)
     9   0.90   1.00    0.904    0.000     10  ######################################## (0.904)
