Reliability bins (n_bins=10, ECE=0.0861)
   bin     lo     hi     conf      acc      n  gap
     0   0.00   0.10    0.024    0.070    272  ####### (0.046)
     1   0.10   0.20    0.164    0.078    244  ############## (0.086)
     2   0.20   0.30    0.254    0.198    651  ######### (0.056)
     3   0.30   0.40    0.352    0.377    840  #### (0.026)
     4   0.40   0.50    0.450    0.548    778  ################ (0.098)
     5   0.50   0.60    0.547    0.676    682  ##################### (0.129)
     6   0.60   0.70    0.649    0.717    590  ########### (0.068)
     7   0.70   0.80    0.748    0.776    514  ##### (0.029)
     8   0.80   0.90    0.846    0.669    356  ############################ (0.178)
     9   0.90   1.00    0.923    0.151     73  ######################################## (0.772)
