Reliability bins (n_bins=10, ECE=0.0889)
   bin     lo     hi     conf      acc      n  gap
     0   0.00   0.10    0.067    0.083    228  ### (0.017)
     1   0.10   0.20    0.155    0.025    121  ##################### (0.131)
     2   0.20   0.30    0.259    0.135    540  #################### (0.123)
     3   0.30   0.40    0.351    0.323    903  #### (0.028)
     4   0.40   0.50    0.448    0.539    940  ############### (0.092)
     5   0.50   0.60    0.547    0.658    811  ################## (0.112)
     6   0.60   0.70    0.650    0.725    657  ############ (0.075)
     7   0.70   0.80    0.747    0.764    500  ### (0.017)
     8   0.80   0.90    0.841    0.566    274  ######################################## (0.276)
     9   0.90   1.00    0.911    0.038     26  ######################################## (0.873)
